,Open,High,Low,Close,Volume,trading_day,sqz_on,momentum,atr,mom_velo,vwap,price_vs_vwap,fired,mom_prev,mom_state,ema_fast,ema_slow,ema_filter,ema_macro,bullish_align,bearish_align,ema_200_up,macd_line,macd_signal,macd_hist,macd_rising,rsv,k_val,d_val,bb_upper,bb_lower,score,recent_high,recent_low,is_new_high,is_new_low,in_bull_pb_zone,in_bear_pb_zone,day_open,day_min,day_max,opening_bullish,opening_bearish,adx,session,regime,open,high,low,close,volume,amount,bull_align,bear_align,in_pb_zone
2026-04-14 14:55:00,36304.0,36381.0,36304.0,36356.0,1958.0,2026-04-14,True,-31.166666666666664,217.35,-5.833333333333333,36132.50928305964,0.0061853085040274,False,-28.666666666666664,0.0,36374.129535326945,36286.03952108286,36286.03952108286,,True,False,False,10.827131822581578,20.31841820348161,-9.491286380900032,False,3.3165295834438844,15.445971915878683,23.03701319700328,36426.53120405149,36350.86879594851,-33.333333333333336,40000.0,36231.0,False,False,True,False,35738.0,35696.0,40000.0,False,False,36.90448918190421,2.0,NORMAL,36304.0,36381.0,36304.0,36356.0,1958.0,0.0,True,False,True
2026-04-14 15:00:00,36389.0,36447.0,36355.0,36428.0,1981.0,2026-04-15,True,-22.0,220.15,0.3333333333333321,36428.0,0.0,False,-31.166666666666664,1.0,36379.260055772,36290.69396301456,36290.69396301456,,True,False,False,14.112306990209618,19.07719596082721,-4.964888970617594,True,5.226850623507562,12.039598151754978,19.371208181920515,36431.48466639099,36348.615333609014,0.0,40000.0,36231.0,False,False,True,False,36389.0,36355.0,36447.0,True,False,41.17892961384914,2.0,STRONG,36389.0,36447.0,36355.0,36428.0,1981.0,0.0,True,False,True
2026-04-14 15:05:00,36430.0,36495.0,36420.0,36491.0,1552.0,2026-04-15,True,-5.333333333333336,222.25,7.777777777777776,36455.67506368525,0.0009689831899433,False,-22.0,1.0,36389.90195522229,36297.261374063266,36297.261374063266,,True,False,False,21.550979192878003,19.57195260723737,1.979026585640632,True,6.8983815335632785,10.325859279024412,16.356091880955148,36455.56896357834,36333.23103642166,0.0,40000.0,36231.0,False,False,False,False,36389.0,36355.0,36495.0,True,False,45.15163240165158,2.0,STRONG,36430.0,36495.0,36420.0,36491.0,1552.0,0.0,True,False,False
2026-04-14 15:10:00,36488.0,36494.0,36445.0,36472.0,1136.0,2026-04-15,True,7.999999999999998,224.35,13.055555555555555,36459.647033626046,0.0003388120121558,False,-5.333333333333336,3.0,36397.72081662969,36302.99050933988,36302.99050933988,,True,False,False,25.61773400473612,20.781108886737123,4.836625117998999,True,6.887486855941114,9.448480909824346,14.236365720741937,36468.58416479085,36327.91583520915,66.66666666666666,40014.0,36210.0,False,False,False,False,36389.0,36355.0,36495.0,True,False,48.84424151355322,2.0,STRONG,36488.0,36494.0,36445.0,36472.0,1136.0,0.0,True,False,False
2026-04-14 15:15:00,36469.0,36477.0,36451.0,36453.0,427.0,2026-04-15,True,29.0,222.75,17.0,36459.09007064365,-0.0001670384705664,False,7.999999999999998,3.0,36402.985500760195,36307.90885329594,36307.90885329594,,True,False,False,26.996328412831645,22.024152791956027,4.972175620875618,True,5.8901565401963385,7.973604978938476,11.930648984139458,36475.72198155901,36328.17801844099,66.66666666666666,40000.0,36231.0,False,False,True,False,36389.0,36355.0,36495.0,True,False,52.26601341450187,2.0,STRONG,36469.0,36477.0,36451.0,36453.0,427.0,0.0,True,False,True
2026-04-14 15:25:00,36471.0,36484.0,36463.0,36484.0,359.0,2026-04-15,False,66.5,33.5,17.222222222222225,36463.712864934234,0.0005563650399758,False,40.33333333333333,3.0,36417.78447731645,36314.41234017642,36314.41234017642,,True,False,False,33.44230746135872,28.04976685951657,5.392540601842153,True,83.76623376623377,77.11284873084752,69.00432921434408,36494.03667744927,36332.36332255072,53.333333333333336,36509.0,36355.0,False,False,True,False,36389.0,36355.0,36509.0,True,False,36.0752924737035,2.0,STRONG,36471.0,36484.0,36463.0,36484.0,359.0,0.0,True,False,True
2026-04-14 15:20:00,36452.0,36510.0,36452.0,36472.0,849.0,2026-04-15,True,51.5,224.7,18.944444444444446,36460.93372582002,0.0003035104438958,False,29.0,3.0,36409.55831021161,36313.28889089279,36313.28889089279,,True,False,False,29.28444279624091,23.476210792813006,5.808232003427904,True,6.394269036879809,7.447159664918921,10.43615254439928,36485.90102026676,36326.49897973323,66.66666666666666,40000.0,36231.0,False,False,True,False,36389.0,36355.0,36510.0,True,False,55.449768432509245,2.0,STRONG,36452.0,36510.0,36452.0,36472.0,849.0,0.0,True,False,True
2026-04-14 15:30:00,36480.0,36481.0,36480.0,36481.0,5.0,2026-04-15,False,79.0,32.7,17.38888888888889,36463.645737782696,0.000475933271788,False,65.66666666666666,3.0,36423.37416428404,36319.71567113543,36319.71567113543,,True,False,False,34.15082957252889,29.2061617383023,4.944667834226593,False,81.81818181818183,77.95979237179158,71.74898335965968,36502.09312941411,36333.20687058589,53.333333333333336,36509.0,36355.0,False,False,True,False,36389.0,36355.0,36509.0,True,False,37.656017396746535,2.0,STRONG,36480.0,36481.0,36480.0,36481.0,5.0,0.0,True,False,True
2026-04-14 15:50:00,36485.0,36495.0,36478.0,36493.0,194.0,2026-04-15,False,122.16666666666666,34.55,5.666666666666665,36476.16268335214,0.0004615978055045,False,118.66666666666666,3.0,36452.903459922134,36347.346156760555,36347.346156760555,,True,False,False,36.05075986102747,34.80586632316595,1.2448935378615218,False,54.54545454545454,64.43953052020173,72.37546899526534,36549.69894796276,36330.201052037235,66.66666666666666,36528.0,36355.0,False,False,True,False,36389.0,36355.0,36528.0,True,False,45.06886448412035,2.0,STRONG,36485.0,36495.0,36478.0,36493.0,194.0,0.0,True,False,True
2026-04-14 15:55:00,36493.0,36512.0,36491.0,36502.0,363.0,2026-04-15,False,111.33333333333331,34.35,-1.6111111111111107,36476.783353127474,0.0006913067588336,False,121.33333333333331,2.0,36457.1895141656,36352.26341371769,36352.26341371769,,True,False,False,35.394094083298114,34.82318541680554,0.5709086664925707,False,66.23376623376623,64.1342667246329,69.02617332721651,36555.445758825575,36335.054241174425,33.33333333333333,36528.0,36355.0,False,False,True,False,36389.0,36355.0,36528.0,True,False,46.67171949769108,2.0,STRONG,36493.0,36512.0,36491.0,36502.0,363.0,0.0,True,False,True
