ts,open,high,low,close,volume,Trading_Day,Session
2026-04-08 15:01:00,35000.0,35009.0,34965.0,34977.0,293,2026-04-09,2
2026-04-08 15:02:00,34980.0,34993.0,34955.0,34991.0,215,2026-04-09,2
2026-04-08 15:03:00,34992.0,34992.0,34973.0,34986.0,87,2026-04-09,2
2026-04-08 15:04:00,34982.0,35004.0,34982.0,34995.0,91,2026-04-09,2
2026-04-08 15:05:00,34989.0,35009.0,34983.0,35005.0,101,2026-04-09,2
2026-04-08 15:06:00,35001.0,35024.0,35001.0,35011.0,144,2026-04-09,2
2026-04-08 15:07:00,35009.0,35020.0,35006.0,35017.0,50,2026-04-09,2
2026-04-08 15:08:00,35013.0,35017.0,34998.0,35012.0,53,2026-04-09,2
2026-04-08 15:09:00,35007.0,35019.0,34995.0,35019.0,63,2026-04-09,2
2026-04-08 15:10:00,35014.0,35023.0,35005.0,35005.0,39,2026-04-09,2
2026-04-08 15:11:00,35004.0,35016.0,34983.0,34995.0,95,2026-04-09,2
2026-04-08 15:12:00,34997.0,35044.0,34993.0,35030.0,165,2026-04-09,2
2026-04-08 15:13:00,35026.0,35042.0,35022.0,35038.0,125,2026-04-09,2
2026-04-08 15:14:00,35031.0,35031.0,35003.0,35003.0,59,2026-04-09,2
2026-04-08 15:15:00,35019.0,35025.0,35007.0,35014.0,50,2026-04-09,2
2026-04-08 15:16:00,35014.0,35027.0,35010.0,35021.0,37,2026-04-09,2
2026-04-08 15:17:00,35022.0,35022.0,35006.0,35019.0,66,2026-04-09,2
2026-04-08 15:18:00,35017.0,35040.0,35013.0,35034.0,87,2026-04-09,2
2026-04-08 15:19:00,35033.0,35040.0,35018.0,35036.0,84,2026-04-09,2
2026-04-08 15:20:00,35035.0,35088.0,35034.0,35087.0,340,2026-04-09,2
2026-04-08 15:21:00,35089.0,35111.0,35070.0,35073.0,279,2026-04-09,2
2026-04-08 15:22:00,35071.0,35090.0,35071.0,35085.0,80,2026-04-09,2
2026-04-08 15:23:00,35090.0,35163.0,35090.0,35098.0,323,2026-04-09,2
