timestamp,Open,High,Low,Close,Volume,Dividends,Stock Splits,Amount,Date
,54.7,55.0,54.7,54.8,3368,,,184483900.0,2026-04-07 09:01:00
,54.9,55.5,54.7,55.3,2232,,,123024400.0,2026-04-07 09:02:00
,55.4,56.0,55.3,55.9,3084,,,171958100.0,2026-04-07 09:03:00
,55.9,56.5,55.8,56.3,2590,,,145379900.0,2026-04-07 09:04:00
,56.3,56.5,56.2,56.3,3176,,,179102600.0,2026-04-07 09:05:00
,56.4,56.5,56.2,56.5,1977,,,111486500.0,2026-04-07 09:06:00
,56.5,56.7,56.5,56.6,1628,,,92140900.0,2026-04-07 09:07:00
,56.6,56.8,56.5,56.7,941,,,53301300.0,2026-04-07 09:08:00
,56.7,56.8,56.5,56.6,593,,,33586900.0,2026-04-07 09:09:00
,56.6,56.8,56.5,56.6,1786,,,101264600.0,2026-04-07 09:10:00
,56.6,56.7,56.5,56.6,614,,,34770900.0,2026-04-07 09:11:00
,56.7,56.8,56.5,56.5,416,,,23545200.0,2026-04-07 09:12:00
,56.6,56.7,56.5,56.5,432,,,24444300.0,2026-04-07 09:13:00
,56.5,56.7,56.5,56.6,648,,,36656100.0,2026-04-07 09:14:00
,56.6,56.7,56.4,56.6,1082,,,61197400.0,2026-04-07 09:15:00
,56.6,56.7,56.5,56.5,294,,,16638300.0,2026-04-07 09:16:00
,56.5,56.6,56.5,56.6,642,,,36316900.0,2026-04-07 09:17:00
,56.6,56.8,56.5,56.8,1963,,,111286700.0,2026-04-07 09:18:00
,56.8,57.0,56.8,56.8,1255,,,71424700.0,2026-04-07 09:19:00
,56.8,57.7,56.8,57.6,3324,,,190238100.0,2026-04-07 09:20:00
,57.6,57.7,57.5,57.5,683,,,39339200.0,2026-04-07 09:21:00
,57.5,57.6,57.4,57.6,573,,,32944800.0,2026-04-07 09:22:00
,57.6,57.6,57.5,57.6,846,,,48697100.0,2026-04-07 09:23:00
,57.7,57.7,57.6,57.6,605,,,34861500.0,2026-04-07 09:24:00
,57.6,58.0,57.5,58.0,1531,,,88449500.0,2026-04-07 09:25:00
,57.9,58.1,57.8,58.0,1917,,,111110400.0,2026-04-07 09:26:00
,58.0,58.2,58.0,58.2,1431,,,83194000.0,2026-04-07 09:27:00
,58.1,58.2,58.0,58.0,609,,,35357100.0,2026-04-07 09:28:00
