timestamp,Open,High,Low,Close,Volume,Amount,Date
,308.0,310.5,301.0,306.0,1254,385879500.0,2026-04-13 09:01:00
,306.0,306.0,301.5,304.0,328,99599000.0,2026-04-13 09:02:00
,303.5,306.0,303.5,306.0,271,82646000.0,2026-04-13 09:03:00
,306.0,307.0,303.0,306.0,405,123452500.0,2026-04-13 09:04:00
,306.0,309.0,305.5,307.0,305,93679000.0,2026-04-13 09:05:00
,306.0,309.0,305.0,307.5,355,109020500.0,2026-04-13 09:06:00
,308.0,315.0,307.0,314.5,586,182139000.0,2026-04-13 09:07:00
,315.0,319.5,313.0,319.0,778,245517000.0,2026-04-13 09:08:00
,319.5,321.0,318.5,320.5,615,196721000.0,2026-04-13 09:09:00
,320.5,324.0,320.0,320.5,330,106298000.0,2026-04-13 09:10:00
,320.5,320.5,317.5,318.0,188,60002500.0,2026-04-13 09:11:00
,318.5,320.0,316.5,320.0,280,89060500.0,2026-04-13 09:12:00
,320.5,320.5,316.0,316.5,215,68315500.0,2026-04-13 09:13:00
,316.5,317.0,314.0,315.5,224,70658500.0,2026-04-13 09:14:00
,314.5,317.5,314.5,317.0,130,41057500.0,2026-04-13 09:15:00
,318.0,320.0,317.0,318.0,193,61545500.0,2026-04-13 09:16:00
,318.0,318.0,315.0,315.5,88,27864500.0,2026-04-13 09:17:00
,315.0,318.0,314.0,317.0,162,51155000.0,2026-04-13 09:18:00
,317.5,318.0,316.0,316.0,52,16493500.0,2026-04-13 09:19:00
,316.0,316.0,314.5,314.5,49,15435000.0,2026-04-13 09:20:00
,314.5,314.5,313.0,314.0,148,46454500.0,2026-04-13 09:21:00
,313.5,316.0,313.5,315.5,89,28031500.0,2026-04-13 09:22:00
,315.5,318.0,315.0,316.5,101,31991500.0,2026-04-13 09:23:00
,316.5,317.0,316.5,316.5,34,10773500.0,2026-04-13 09:24:00
,317.0,317.0,315.5,317.0,37,11711500.0,2026-04-13 09:25:00
,316.5,316.5,315.0,315.0,124,39116000.0,2026-04-13 09:26:00
,315.0,317.5,313.0,316.5,100,31471500.0,2026-04-13 09:27:00
,316.0,316.0,315.0,315.0,35,11040500.0,2026-04-13 09:28:00
,315.0,316.5,314.5,316.0,28,8834000.0,2026-04-13 09:29:00
,316.5,316.5,316.0,316.0,25,7909000.0,2026-04-13 09:30:00
,316.0,317.0,316.0,317.0,15,4751000.0,2026-04-13 09:31:00
,316.5,317.0,315.0,315.0,58,18333000.0,2026-04-13 09:32:00
,315.0,315.5,313.0,313.5,147,46167500.0,2026-04-13 09:33:00
,313.5,315.5,313.0,315.0,140,43874000.0,2026-04-13 09:34:00
,315.0,315.0,313.5,313.5,29,9112000.0,2026-04-13 09:35:00
,314.0,314.0,313.0,313.5,41,12845500.0,2026-04-13 09:36:00
,313.0,313.5,310.5,310.5,217,67673000.0,2026-04-13 09:37:00
,310.5,311.5,310.5,311.5,47,14605500.0,2026-04-13 09:38:00
,311.5,312.0,311.0,311.5,62,19313500.0,2026-04-13 09:39:00
,311.5,311.5,310.5,310.5,78,24241000.0,2026-04-13 09:40:00
,310.5,310.5,305.5,306.5,266,82032500.0,2026-04-13 09:41:00
,306.5,307.5,305.5,306.0,123,37718500.0,2026-04-13 09:42:00
,305.5,306.5,303.5,303.5,188,57317500.0,2026-04-13 09:43:00
,303.5,306.5,303.0,306.0,158,48024000.0,2026-04-13 09:44:00
,306.5,307.0,305.0,306.0,99,30290500.0,2026-04-13 09:45:00
,306.0,306.5,305.5,306.5,65,19898000.0,2026-04-13 09:46:00
,306.5,306.5,305.5,306.0,107,32721000.0,2026-04-13 09:47:00
,306.0,310.0,306.0,310.0,68,20975000.0,2026-04-13 09:48:00
,309.5,309.5,308.0,308.0,112,34586000.0,2026-04-13 09:49:00
,307.5,307.5,307.0,307.0,44,13513000.0,2026-04-13 09:50:00
,307.0,307.0,306.5,307.0,23,7052000.0,2026-04-13 09:51:00
,306.5,307.0,306.5,306.5,34,10427000.0,2026-04-13 09:52:00
,306.5,307.0,306.0,307.0,18,5516000.0,2026-04-13 09:53:00
,307.0,308.0,307.0,308.0,8,2459000.0,2026-04-13 09:54:00
,307.0,307.0,305.5,306.0,108,33072500.0,2026-04-13 09:55:00
,306.0,307.0,306.0,307.0,21,6440000.0,2026-04-13 09:56:00
,307.0,307.0,306.5,307.0,13,3990500.0,2026-04-13 09:57:00
,307.0,308.0,307.0,308.0,19,5843000.0,2026-04-13 09:58:00
,308.0,309.5,308.0,309.5,37,11422000.0,2026-04-13 09:59:00
,309.5,310.0,309.0,309.0,96,29715000.0,2026-04-13 10:00:00
,309.0,310.5,309.0,309.5,75,23248000.0,2026-04-13 10:01:00
,310.0,310.0,308.5,309.0,64,19774000.0,2026-04-13 10:02:00
,308.5,309.0,308.5,309.0,16,4938000.0,2026-04-13 10:03:00
,308.5,308.5,308.5,308.5,16,4936000.0,2026-04-13 10:04:00
,308.5,308.5,308.0,308.5,21,6477500.0,2026-04-13 10:05:00
,308.5,309.0,308.5,309.0,10,3089500.0,2026-04-13 10:06:00
,309.0,310.0,309.0,309.5,23,7127500.0,2026-04-13 10:07:00
,310.0,311.5,310.0,310.5,88,27332000.0,2026-04-13 10:08:00
,310.0,311.0,309.5,310.0,57,17675000.0,2026-04-13 10:09:00
,310.0,310.5,310.0,310.0,18,5583000.0,2026-04-13 10:10:00
,310.0,310.0,310.0,310.0,3,930000.0,2026-04-13 10:11:00
,310.5,313.0,310.0,312.5,93,29000500.0,2026-04-13 10:12:00
,312.5,313.0,312.5,313.0,50,15633000.0,2026-04-13 10:13:00
,313.0,313.0,312.0,312.0,25,7814000.0,2026-04-13 10:14:00
,312.0,312.0,311.0,311.5,37,11538000.0,2026-04-13 10:15:00
,311.5,312.0,311.5,311.5,24,7478000.0,2026-04-13 10:16:00
,312.0,312.5,311.5,312.0,19,5929000.0,2026-04-13 10:17:00
,311.5,311.5,310.5,311.5,52,16174000.0,2026-04-13 10:18:00
,311.5,312.0,311.0,312.0,18,5609500.0,2026-04-13 10:19:00
,312.0,313.5,312.0,313.5,62,19387000.0,2026-04-13 10:20:00
,313.5,313.5,312.0,312.0,51,15940000.0,2026-04-13 10:21:00
,312.0,312.5,312.0,312.5,16,4995500.0,2026-04-13 10:22:00
,312.5,312.5,311.0,311.0,28,8725500.0,2026-04-13 10:23:00
,311.5,311.5,310.5,311.5,31,9635500.0,2026-04-13 10:24:00
,311.0,312.0,311.0,312.0,14,4358000.0,2026-04-13 10:25:00
,311.5,311.5,310.0,310.0,68,21120500.0,2026-04-13 10:26:00
,310.0,310.0,309.0,309.0,79,24457000.0,2026-04-13 10:27:00
,309.0,309.0,309.0,309.0,20,6180000.0,2026-04-13 10:28:00
,309.0,309.5,308.5,308.5,20,6175500.0,2026-04-13 10:29:00
,308.5,308.5,308.0,308.5,18,5551500.0,2026-04-13 10:30:00
,309.0,309.5,309.0,309.0,14,4327000.0,2026-04-13 10:31:00
,309.0,309.0,308.5,309.0,14,4325500.0,2026-04-13 10:32:00
,309.0,309.0,309.0,309.0,10,3090000.0,2026-04-13 10:33:00
,309.0,309.0,308.5,308.5,18,5560500.0,2026-04-13 10:34:00
,308.5,309.0,308.5,309.0,9,2778000.0,2026-04-13 10:35:00
,309.0,310.5,309.0,310.5,25,7749000.0,2026-04-13 10:36:00
,310.5,311.0,310.5,310.5,7,2174500.0,2026-04-13 10:37:00
,310.5,310.5,309.5,309.5,18,5581500.0,2026-04-13 10:38:00
,309.5,309.5,309.0,309.0,8,2473500.0,2026-04-13 10:39:00
,309.0,309.0,309.0,309.0,3,927000.0,2026-04-13 10:40:00
,309.0,309.0,308.5,309.0,9,2780500.0,2026-04-13 10:41:00
,309.0,309.0,309.0,309.0,2,618000.0,2026-04-13 10:42:00
,309.5,309.5,309.0,309.0,14,4326500.0,2026-04-13 10:43:00
,308.5,308.5,308.5,308.5,16,4936000.0,2026-04-13 10:44:00
,308.5,309.0,308.5,309.0,6,1852000.0,2026-04-13 10:45:00
,309.0,309.0,308.5,308.5,3,926000.0,2026-04-13 10:46:00
,308.5,309.0,308.5,308.5,4,1235000.0,2026-04-13 10:47:00
,308.5,309.0,308.5,308.5,7,2160000.0,2026-04-13 10:48:00
,308.5,308.5,308.5,308.5,32,9872000.0,2026-04-13 10:49:00
,308.5,308.5,308.0,308.0,12,3701000.0,2026-04-13 10:50:00
,308.5,308.5,308.0,308.5,17,5241500.0,2026-04-13 10:51:00
,308.5,309.0,308.5,309.0,34,10500500.0,2026-04-13 10:53:00
,308.5,308.5,308.5,308.5,2,617000.0,2026-04-13 10:54:00
,309.0,309.0,309.0,309.0,5,1545000.0,2026-04-13 10:55:00
,309.0,309.5,309.0,309.5,9,2785000.0,2026-04-13 10:56:00
,310.0,310.5,310.0,310.5,20,6204000.0,2026-04-13 10:58:00
,310.0,310.0,310.0,310.0,11,3410000.0,2026-04-13 10:59:00
,310.0,310.0,309.5,309.5,14,4339000.0,2026-04-13 11:00:00
,309.5,309.5,308.5,309.0,84,25959500.0,2026-04-13 11:01:00
,308.5,309.0,308.0,309.0,18,5557500.0,2026-04-13 11:02:00
,309.0,309.0,308.5,308.5,9,2780500.0,2026-04-13 11:04:00
,309.0,309.0,308.5,308.5,25,7713500.0,2026-04-13 11:05:00
,308.5,308.5,308.0,308.0,18,5546000.0,2026-04-13 11:06:00
,308.0,308.0,306.5,306.5,132,40578000.0,2026-04-13 11:07:00
,306.5,307.0,306.5,306.5,16,4904500.0,2026-04-13 11:08:00
,306.5,308.5,306.5,308.5,16,4917500.0,2026-04-13 11:09:00
,308.5,308.5,307.0,307.0,10,3075500.0,2026-04-13 11:10:00
,307.5,307.5,307.0,307.0,23,7062500.0,2026-04-13 11:11:00
,307.0,307.0,306.5,306.5,11,3372500.0,2026-04-13 11:12:00
,306.5,307.0,306.5,307.0,31,9507000.0,2026-04-13 11:13:00
,307.5,307.5,307.0,307.0,6,1842500.0,2026-04-13 11:14:00
,307.0,307.0,307.0,307.0,6,1842000.0,2026-04-13 11:15:00
