entry_type,pnl_pts,pnl_cash,bars_held,mfe,mae
CONFIRMED_BREAKOUT,-5.0,-1000.0,2,6.0,-8.0
EARLY_BREAKOUT,-2.4,-480.0,12,5.0,-10.0
EARLY_BREAKOUT,-0.8999999999999999,-179.99999999999997,7,2.0,-6.0
CONFIRMED_BREAKOUT,15.0,3000.0,2,17.0,-45.0
CONFIRMED_BREAKOUT,17.0,3400.0,86,19.0,-12.0
EARLY_BREAKOUT,-3.9,-780.0,12,6.0,-17.0
EARLY_BREAKOUT,-7.199999999999999,-1439.9999999999998,11,8.0,-29.0
EARLY_BREAKOUT,-7.199999999999999,-1439.9999999999998,90,30.0,-26.0
CONFIRMED_BREAKOUT,-9.0,-1800.0,124,11.0,-11.0
CONFIRMED_BREAKOUT,-8.0,-1600.0,3,7.0,-23.0
CONFIRMED_BREAKOUT,-10.0,-2000.0,13,6.0,-14.0
EARLY_BREAKOUT,2.1,420.0,12,7.0,-6.0
CONFIRMED_BREAKOUT,-13.0,-2600.0,19,8.0,-15.0
EARLY_BREAKOUT,6.3,1260.0,7,22.0,-7.0
CONFIRMED_BREAKOUT,20.0,4000.0,8,24.0,-7.0
EARLY_BREAKOUT,-2.1,-420.0,20,8.0,-7.0
EARLY_BREAKOUT,4.8,960.0,20,17.0,-6.0
EARLY_BREAKOUT,-1.7999999999999998,-359.99999999999994,2,0.0,-7.0
EARLY_BREAKOUT,-1.5,-300.0,2,0.0,-5.0
EARLY_BREAKOUT,-2.6999999999999997,-540.0,22,17.0,-10.0
CONFIRMED_BREAKOUT,-8.0,-1600.0,8,2.0,-11.0
CONFIRMED_BREAKOUT,13.0,2600.0,4,14.0,-7.0
EARLY_BREAKOUT,-2.6999999999999997,-540.0,4,2.0,-11.0
EARLY_BREAKOUT,-0.8999999999999999,-179.99999999999997,7,3.0,-6.0
CONFIRMED_BREAKOUT,-9.0,-1800.0,17,9.0,-10.0
EARLY_BREAKOUT,-0.8999999999999999,-179.99999999999997,3,1.0,-4.0
EARLY_BREAKOUT,-0.8999999999999999,-179.99999999999997,3,4.0,-5.0
CONFIRMED_BREAKOUT,34.0,6800.0,29,36.0,-20.0
CONFIRMED_BREAKOUT,-11.0,-2200.0,9,3.0,-16.0
CONFIRMED_BREAKOUT,-12.0,-2400.0,3,1.0,-13.0
EARLY_BREAKOUT,4.2,840.0,3,14.0,-7.0
CONFIRMED_BREAKOUT,13.0,2600.0,2,15.0,-10.0
CONFIRMED_BREAKOUT,-12.0,-2400.0,10,1.0,-12.0
EARLY_BREAKOUT,-1.7999999999999998,-359.99999999999994,24,4.0,-9.0
CONFIRMED_BREAKOUT,-7.0,-1400.0,2,2.0,-11.0
CONFIRMED_BREAKOUT,-32.0,-6400.0,21,8.0,-32.0
CONFIRMED_BREAKOUT,24.0,4800.0,10,25.0,-10.0
CONFIRMED_BREAKOUT,-8.0,-1600.0,3,1.0,-11.0
EARLY_BREAKOUT,-1.5,-300.0,2,1.0,-5.0
CONFIRMED_BREAKOUT,39.0,7800.0,23,42.0,-16.0
CONFIRMED_BREAKOUT,-24.0,-4800.0,5,3.0,-24.0
EARLY_BREAKOUT,-2.6999999999999997,-540.0,12,6.0,-9.0
CONFIRMED_BREAKOUT,-11.0,-2200.0,3,1.0,-11.0
EARLY_BREAKOUT,-1.5,-300.0,5,0.0,-6.0
EARLY_BREAKOUT,2.4,480.0,19,10.0,-4.0
EARLY_BREAKOUT,-2.1,-420.0,16,8.0,-7.0
CONFIRMED_BREAKOUT,-8.0,-1600.0,4,3.0,-10.0
EARLY_BREAKOUT,-3.5999999999999996,-719.9999999999999,6,3.0,-20.0
EARLY_BREAKOUT,-2.4,-480.0,1,1.0,-9.0
CONFIRMED_BREAKOUT,-8.0,-1600.0,7,3.0,-8.0
CONFIRMED_BREAKOUT,-13.0,-2600.0,2,19.0,-17.0
CONFIRMED_BREAKOUT,27.0,5400.0,8,30.0,-13.0
CONFIRMED_BREAKOUT,-16.0,-3200.0,2,1.0,-17.0
EARLY_BREAKOUT,-2.4,-480.0,14,9.0,-8.0
EARLY_BREAKOUT,-3.5999999999999996,-719.9999999999999,3,1.0,-14.0
CONFIRMED_BREAKOUT,-7.0,-1400.0,4,4.0,-8.0
CONFIRMED_BREAKOUT,-6.0,-1200.0,3,3.0,-13.0
CONFIRMED_BREAKOUT,48.0,9600.0,34,52.0,-18.0
EARLY_BREAKOUT,8.4,1680.0,14,28.0,-8.0
CONFIRMED_BREAKOUT,-9.0,-1800.0,3,2.0,-11.0
EARLY_BREAKOUT,-2.1,-420.0,17,8.0,-8.0
EARLY_BREAKOUT,2.6999999999999997,540.0,30,14.0,-5.0
CONFIRMED_BREAKOUT,-8.0,-1600.0,12,7.0,-8.0
EARLY_BREAKOUT,3.3,660.0,7,11.0,-3.0
CONFIRMED_BREAKOUT,-19.0,-3800.0,28,21.0,-22.0
CONFIRMED_BREAKOUT,-8.0,-1600.0,1,0.0,-8.0
CONFIRMED_BREAKOUT,-8.0,-1600.0,36,11.0,-9.0
CONFIRMED_BREAKOUT,13.0,2600.0,30,13.0,-10.0
EARLY_BREAKOUT,-1.5,-300.0,9,1.0,-6.0
CONFIRMED_BREAKOUT,-4.0,-800.0,3,0.0,-9.0
CONFIRMED_BREAKOUT,-7.0,-1400.0,2,5.0,-11.0
CONFIRMED_BREAKOUT,-16.0,-3200.0,3,6.0,-18.0
CONFIRMED_BREAKOUT,-17.0,-3400.0,7,15.0,-17.0
CONFIRMED_BREAKOUT,-14.0,-2800.0,4,6.0,-15.0
CONFIRMED_BREAKOUT,-14.0,-2800.0,57,18.0,-15.0
CONFIRMED_BREAKOUT,-17.0,-3400.0,8,6.0,-18.0
CONFIRMED_BREAKOUT,-8.0,-1600.0,11,2.0,-10.0
CONFIRMED_BREAKOUT,-11.0,-2200.0,8,10.0,-17.0
CONFIRMED_BREAKOUT,-8.0,-1600.0,2,2.0,-10.0
CONFIRMED_BREAKOUT,-14.0,-2800.0,11,15.0,-16.0
CONFIRMED_BREAKOUT,-12.0,-2400.0,19,14.0,-12.0
CONFIRMED_BREAKOUT,-9.0,-1800.0,40,9.0,-9.0
EARLY_BREAKOUT,-1.7999999999999998,-359.99999999999994,29,8.0,-7.0
CONFIRMED_BREAKOUT,-8.0,-1600.0,9,2.0,-9.0
EARLY_BREAKOUT,-1.7999999999999998,-359.99999999999994,26,6.0,-7.0
CONFIRMED_BREAKOUT,6.0,1200.0,12,6.0,-7.0
EARLY_BREAKOUT,-1.5,-300.0,9,7.0,-5.0
EARLY_BREAKOUT,-1.7999999999999998,-359.99999999999994,6,5.0,-7.0
CONFIRMED_BREAKOUT,49.0,9800.0,30,49.0,-6.0
CONFIRMED_BREAKOUT,41.0,8200.0,15,44.0,-17.0
EARLY_BREAKOUT,7.199999999999999,1439.9999999999998,136,26.0,-8.0
EARLY_BREAKOUT,3.9,780.0,18,13.0,-4.0
EARLY_BREAKOUT,3.3,660.0,10,13.0,-5.0
EARLY_BREAKOUT,-1.7999999999999998,-359.99999999999994,2,0.0,-7.0
CONFIRMED_BREAKOUT,-6.0,-1200.0,1,1.0,-13.0
CONFIRMED_BREAKOUT,-11.0,-2200.0,41,9.0,-16.0
EARLY_BREAKOUT,3.5999999999999996,719.9999999999999,13,12.0,-5.0
EARLY_BREAKOUT,-1.7999999999999998,-359.99999999999994,3,1.0,-6.0
EARLY_BREAKOUT,-2.6999999999999997,-540.0,9,10.0,-9.0
CONFIRMED_BREAKOUT,17.0,3400.0,12,18.0,-23.0
EARLY_BREAKOUT,-2.1,-420.0,8,3.0,-7.0
CONFIRMED_BREAKOUT,13.0,2600.0,19,14.0,-8.0
CONFIRMED_BREAKOUT,8.0,1600.0,32,10.0,-7.0
CONFIRMED_BREAKOUT,-7.0,-1400.0,16,14.0,-17.0
EARLY_BREAKOUT,-0.8999999999999999,-179.99999999999997,6,3.0,-3.0
CONFIRMED_BREAKOUT,-4.0,-800.0,3,2.0,-8.0
CONFIRMED_BREAKOUT,-19.0,-3800.0,31,14.0,-19.0
EARLY_BREAKOUT,5.3999999999999995,1080.0,16,21.0,-7.0
EARLY_BREAKOUT,3.3,660.0,16,12.0,-6.0
EARLY_BREAKOUT,5.1,1019.9999999999999,14,21.0,-6.0
CONFIRMED_BREAKOUT,-3.0,-600.0,3,1.0,-7.0
CONFIRMED_BREAKOUT,-11.0,-2200.0,7,0.0,-12.0
EARLY_BREAKOUT,-1.7999999999999998,-359.99999999999994,3,4.0,-6.0
EARLY_BREAKOUT,-2.1,-420.0,1,2.0,-8.0
CONFIRMED_BREAKOUT,-14.0,-2800.0,5,11.0,-19.0
CONFIRMED_BREAKOUT,-19.0,-3800.0,37,24.0,-22.0
CONFIRMED_BREAKOUT,-8.0,-1600.0,15,8.0,-10.0
CONFIRMED_BREAKOUT,-6.0,-1200.0,12,7.0,-8.0
EARLY_BREAKOUT,-1.5,-300.0,4,6.0,-7.0
CONFIRMED_BREAKOUT,20.0,4000.0,29,35.0,-9.0
CONFIRMED_BREAKOUT,-3.0,-600.0,1,1.0,-8.0
EARLY_BREAKOUT,2.6999999999999997,540.0,11,9.0,-6.0
EARLY_BREAKOUT,-2.1,-420.0,7,3.0,-7.0
EARLY_BREAKOUT,-1.5,-300.0,4,1.0,-7.0
EARLY_BREAKOUT,2.1,420.0,8,8.0,-4.0
CONFIRMED_BREAKOUT,14.0,2800.0,2,14.0,-9.0
CONFIRMED_BREAKOUT,28.0,5600.0,35,29.0,-13.0
EARLY_BREAKOUT,-1.7999999999999998,-359.99999999999994,5,5.0,-7.0
EARLY_BREAKOUT,5.3999999999999995,1080.0,10,19.0,-4.0
EARLY_BREAKOUT,3.3,660.0,16,12.0,-4.0
EARLY_BREAKOUT,-0.8999999999999999,-179.99999999999997,1,0.0,-5.0
CONFIRMED_BREAKOUT,-9.0,-1800.0,5,2.0,-15.0
EARLY_BREAKOUT,-5.1,-1019.9999999999999,7,3.0,-17.0
EARLY_BREAKOUT,-2.1,-420.0,2,1.0,-7.0
CONFIRMED_BREAKOUT,20.0,4000.0,21,22.0,-9.0
EARLY_BREAKOUT,7.199999999999999,1439.9999999999998,9,26.0,-6.0
EARLY_BREAKOUT,7.199999999999999,1439.9999999999998,26,26.0,-12.0
CONFIRMED_BREAKOUT,31.0,6200.0,7,32.0,-9.0
CONFIRMED_BREAKOUT,-13.0,-2600.0,21,10.0,-13.0
CONFIRMED_BREAKOUT,16.0,3200.0,9,16.0,-13.0
EARLY_BREAKOUT,4.5,900.0,2,16.0,-6.0
EARLY_BREAKOUT,8.4,1680.0,14,30.0,-12.0
CONFIRMED_BREAKOUT,-92.0,-18400.0,37,15.0,-97.0
EARLY_BREAKOUT,-2.1,-420.0,34,5.0,-8.0
EARLY_BREAKOUT,-1.7999999999999998,-359.99999999999994,6,0.0,-6.0
EARLY_BREAKOUT,-2.4,-480.0,7,5.0,-12.0
EARLY_BREAKOUT,-1.5,-300.0,28,6.0,-8.0
EARLY_BREAKOUT,-2.6999999999999997,-540.0,3,11.0,-10.0
EARLY_BREAKOUT,4.5,900.0,12,15.0,-5.0
CONFIRMED_BREAKOUT,-7.0,-1400.0,3,1.0,-11.0
EARLY_BREAKOUT,-1.5,-300.0,16,7.0,-7.0
CONFIRMED_BREAKOUT,-10.0,-2000.0,3,20.0,-12.0
EARLY_BREAKOUT,-3.5999999999999996,-719.9999999999999,23,18.0,-19.0
CONFIRMED_BREAKOUT,20.0,4000.0,33,23.0,-11.0
EARLY_BREAKOUT,-3.0,-600.0,9,3.0,-11.0
EARLY_BREAKOUT,5.7,1140.0,11,20.0,-10.0
EARLY_BREAKOUT,4.2,840.0,10,14.0,-6.0
EARLY_BREAKOUT,-2.6999999999999997,-540.0,6,6.0,-10.0
EARLY_BREAKOUT,-2.4,-480.0,20,6.0,-9.0
EARLY_BREAKOUT,-1.7999999999999998,-359.99999999999994,5,3.0,-8.0
EARLY_BREAKOUT,-3.9,-780.0,4,5.0,-14.0
EARLY_BREAKOUT,5.1,1019.9999999999999,53,19.0,-10.0
EARLY_BREAKOUT,-4.5,-900.0,11,6.0,-16.0
EARLY_BREAKOUT,-1.7999999999999998,-359.99999999999994,2,0.0,-7.0
EARLY_BREAKOUT,-3.0,-600.0,12,6.0,-15.0
EARLY_BREAKOUT,-2.1,-420.0,4,0.0,-9.0
EARLY_BREAKOUT,-1.7999999999999998,-359.99999999999994,65,9.0,-7.0
