parameter_value,eligible_cases,historical_action_match_rate,historical_leg_match_rate,historical_reason_match_rate,baseline_action_drift_rate,baseline_leg_drift_rate,baseline_reason_drift_rate,decision_drift_count,unchanged_count
80.0,55,1.0,1.0,1.0,0.14545454545454545,0.0,0.0,8,47
90.0,55,1.0,1.0,1.0,0.14545454545454545,0.0,0.0,8,47
100.0,55,1.0,1.0,1.0,0.14545454545454545,0.0,0.0,8,47
110.0,55,0.9636363636363636,0.9636363636363636,1.0,0.10909090909090909,0.0,0.0,6,49
120.0,55,0.9272727272727272,0.9272727272727272,1.0,0.07272727272727272,0.0,0.0,4,51
130.0,55,0.8545454545454545,0.8545454545454545,1.0,0.0,0.0,0.0,0,55
140.0,55,0.8,0.8,1.0,0.05454545454545454,0.0,0.0,3,52
150.0,55,0.7272727272727273,0.7272727272727273,1.0,0.12727272727272726,0.0,0.0,7,48
160.0,55,0.6727272727272727,0.6727272727272727,1.0,0.18181818181818182,0.0,0.0,10,45
170.0,55,0.5454545454545454,0.5454545454545454,1.0,0.3090909090909091,0.0,0.0,17,38
180.0,55,0.4727272727272727,0.4727272727272727,1.0,0.38181818181818183,0.0,0.0,21,34
190.0,55,0.43636363636363634,0.43636363636363634,1.0,0.41818181818181815,0.0,0.0,23,32
200.0,55,0.43636363636363634,0.43636363636363634,1.0,0.41818181818181815,0.0,0.0,23,32
