trade_id,release_ts,released_leg,release_fill_count,sibling_exit_fill_count,pre_release_paired_pnl,release_time_combined_valuation_gross,valuation_tier,immediate_executable_combined_pnl_gross,actual_full_pnl_gross,actual_full_pnl_net,post_release_incremental_pnl,unhedged_seconds,status,issue_flags,data_quality,entry_attribution,release_attribution,quote_age_s,schema_version
mts-auto-112141-818,2026-07-31T11:46:21.091335,FAR,1,1,,,UNUSABLE,,100.0,-14.7,,1.05,OK,[],UNUSABLE,UNKNOWN,UNKNOWN,"{'FAR': 0.12, 'NEAR': None}",exit_attribution.v1
mts-20260731-131817,2026-07-31T13:24:53.186265,FAR,1,1,,,UNUSABLE,,60.0,-54.7,,4.65,OK,[],UNUSABLE,UNKNOWN,UNKNOWN,"{'FAR': 0.298, 'NEAR': None}",exit_attribution.v1
mts-auto-150536-380,2026-07-31T15:28:41.770468,NEAR,1,1,20.0,,UNUSABLE,,1570.0,1455.3,1550.0,5.02,OK,[],UNUSABLE,UNKNOWN,UNKNOWN,"{'NEAR': None, 'FAR': 0.57}",exit_attribution.v1
mts-auto-155526-182,2026-07-31T15:56:42.031037,FAR,1,1,,,UNUSABLE,,110.0,-4.7,,1.13,OK,[],UNUSABLE,UNKNOWN,UNKNOWN,"{'FAR': 0.044, 'NEAR': None}",exit_attribution.v1
mts-auto-215733-051,2026-07-31T22:02:35.823158,NEAR,1,1,1820.0,,UNUSABLE,,210.0,95.3,-1610.0,6.46,OK,[],UNUSABLE,UNKNOWN,UNKNOWN,"{'NEAR': None, 'FAR': 0.009}",exit_attribution.v1
mts-auto-220242-288,2026-07-31T22:07:43.213720,NEAR,1,1,1940.0,,UNUSABLE,,40.0,-74.7,-1900.0,2.33,OK,[],UNUSABLE,UNKNOWN,UNKNOWN,"{'NEAR': None, 'FAR': 0.074}",exit_attribution.v1
mts-auto-221821-928,2026-07-31T22:18:50.868383,FAR,1,1,,,UNUSABLE,,-2460.0,-2574.7,,8.06,OK,[],UNUSABLE,UNKNOWN,UNKNOWN,"{'FAR': 0.012, 'NEAR': None}",exit_attribution.v1
mts-auto-222918-692,2026-07-31T22:31:05.951831,FAR,1,1,,,UNUSABLE,,10.0,-104.7,,5.28,OK,[],UNUSABLE,UNKNOWN,UNKNOWN,"{'FAR': 0.057, 'NEAR': None}",exit_attribution.v1
mts-auto-224719-569,2026-07-31T22:48:56.104093,FAR,1,1,,,UNUSABLE,,-1060.0,-1174.7,,9.48,OK,[],UNUSABLE,UNKNOWN,UNKNOWN,"{'FAR': 0.03, 'NEAR': None}",exit_attribution.v1
mts-auto-225909-825,2026-07-31T23:04:54.497474,FAR,1,1,,,UNUSABLE,,-930.0,-1044.7,,7.15,OK,[],UNUSABLE,UNKNOWN,UNKNOWN,"{'FAR': 0.343, 'NEAR': None}",exit_attribution.v1
